"Title","has research problem","implementation","Disambiguation task","Phrase mapping task","Query construction task","Question analysis task"
"Natural language questions for the web of data","Question answering systems","DEANNA","LIP, Local disambiguation","Knowledge base labels","Using info. from the QA","Dependency parser, NE n-gram strategy, POS handmade"
"LIMSI participation at QALD-5@CLEF","","SemGraphQA","Local disambiguation","Knowledge base labels, Lucene index or similar, Redirects, WordNet/Wiktionary","Using info. from the QA","Dependency parser, NE n-gram strategy"
"CASIA@ V2: a MLN-based question answering system over linked data","Question answering systems","CASIA","Local disambiguation, MLN","Distributional Semantics, Knowledge base labels, Redirects, Using extracted knowledge","Using machine learning","Dependency parser, NE n-gram strategy, POS learned"
"Xser@ QALD-4: answering natural language questions via phrasal semantic parsing","Question answering systems","Xser","Local disambiguation, Structured perceptron","Knowledge base labels, PATTY, Wikipedia specific approaches","Using info. from the QA","POS learned, Phrase dependencies and DAG"
"Cross-Lingual Question Answering Using Common Semantic Space","Question answering systems","UTQA","Local disambiguation","Distributional Semantics, Knowledge base labels, Redirects, String similarity","","POS learned"
"","Question answering systems","SWIP","Local disambiguation, User feedback","Knowledge base labels, String similarity","Using templates","Dependency parser"
"PowerAqua: Supporting users in querying and exploring the Semantic Web","Question answering systems","PowerAqua","Graph search, Local disambiguation","Knowledge base labels, Lucene index or similar, Redirects, WordNet/Wiktionary","Using templates","POS handmade"
"Description of the POMELO System for the Task 2 of QALD-2014","Question answering systems","POMELO","Local disambiguation","Knowledge base labels","Semantic information","NE n-gram strategy"
"ISOFT at QALD-4: semantic similarity-based question answering system over linked data","Question answering systems","ISOFT","Local disambiguation","Distributional Semantics, Knowledge base labels, Lucene index or similar, PATTY","Using templates","Dependency parser, EL tools, POS handmade"
"QAnswer-enhanced entity matching for question answering over linked data","Question answering systems","QAnswer","Local disambiguation","BOA or similar, Knowledge base labels, Lucene index or similar, Redirects, String similarity, WordNet/Wiktionary","Using info. from the QA","Dependency parser, NE n-gram strategy"
"Intui2: a prototype system for question answering over linked data","Question answering systems","Intui2","Local disambiguation","","Using info. from the QA","Parser structural grammar"
"Answering natural language questions with Intui3","Question answering systems","Intui3","Local disambiguation","Knowledge base labels, Redirects, Wikipedia specific approaches, WordNet/Wiktionary","Using info. from the QA","NER, POS handmade"
"Question answering over biomedical linked data with Grammatical Framework","Question answering systems","Implementation","Local disambiguation","Knowledge base labels, Redirects","Using Semantic Parsing",""
"QAKiS: an open domain QA system based on relational patterns.","Question answering systems","QAKiS","Local disambiguation","BOA or similar, Knowledge base labels","Using templates","NE n-gram strategy, NER"
"Natural language queries over heterogeneous linked data graphs","Question answering systems","Treo","Graph search, Local disambiguation","Distributional Semantics, Knowledge base labels, Lucene index or similar","Not generating SPARQL","Dependency parser, POS handmade"
"A HMM-based approach to question answering against linked data","Question answering systems","RTV","HMM, Local disambiguation","Distributional Semantics, Knowledge base labels, Lucene index or similar","Using info. from the QA","Dependency parser"
"Natural Language Interfaces to Ontologies: Combining Syntactic Analysis and Ontology-Based Lookup through the User Interaction","Question answering systems","FREyA","Local disambiguation, User feedback","Knowledge base labels, String similarity, WordNet/Wiktionary","Using info. from the QA","Parser structural grammar"
