HABIT Behavior affecting health		HEALTH EFFECT Is the habit good, bad, or neutral for health? 	
Sleeping all day	is	bad	for health
Exercising daily	is	good	for health
Eating snacks often	is	bad	for health
Staying up late	is	bad	for health
Taking a bath or shower regularly	is	good	for health
Handwashing after using the bathroom	is	good	for health
Playing on a soccer team	is	good	for health
Eating candy instead of lunch	is	bad	for health
Reading	is	neutral	for health
Resting	is	good	for health
Driving	is	neutral	for health
Talking	is	neutral	for health
Watching television	is	bad	for health
Smoking cigarettes	is	bad	for health
Eating candy	is	bad	for health
Exercising every day	is	good	for health
being a vegetarian	is	good	for health
being active	is	neutral	for health
being fat	is	bad	for health
biking	is	good	for health
bleeding	is	bad	for health
blinking	is	neutral	for health
breaking a bone	is	bad	for health
breathing	is	good	for health
breathing oxygen	is	good	for health
brushing teeth	is	good	for health
building muscle	is	good	for health
chewing bubble gum	is	neutral	for health
chewing food	is	good	for health
chewing gum	is	neutral	for health
chewing tobacco	is	bad	for health
cleaning	is	neutral	for health
climbing	is	good	for health
combing hair	is	neutral	for health
consuming sugar	is	bad	for health
cooking	is	neutral	for health
cooking food	is	neutral	for health
coughing	is	bad	for health
cracking knuckles	is	bad	for health
cutting hair	is	neutral	for health
cycling	is	good	for health
dancing	is	good	for health
digesting food	is	good	for health
doing artwork	is	neutral	for health
doing cardio	is	good	for health
doing crunches	is	good	for health
doing exercise	is	good	for health
doing exercises	is	good	for health
doing homework	is	neutral	for health
doing karate	is	good	for health
doing pullups	is	good	for health
doing push ups	is	good	for health
doing sit ups	is	good	for health
doing situps	is	good	for health
doing sports	is	good	for health
doing weights	is	good	for health
doing work	is	neutral	for health
doing workouts	is	good	for health
doing yoga	is	good	for health
drawing	is	neutral	for health
dreaming	is	neutral	for health
drinking	is	good	for health
drinking coffee	is	neutral	for health
drinking enough water	is	good	for health
drinking juice	is	neutral	for health
drinking medicine	is	good	for health
drinking milk	is	good	for health
drinking orange juice	is	neutral	for health
drinking pepsi	is	bad	for health
drinking pickle juice	is	good	for health
drinking salt water	is	bad	for health
drinking soda	is	bad	for health
drinking soup	is	good	for health
drinking tea	is	neutral	for health
drinking water	is	good	for health
driving a car	is	neutral	for health
eating	is	good	for health
eating a lot	is	bad	for health
eating apples	is	good	for health
eating asparagus	is	good	for health
eating bacon	is	bad	for health
eating bananas	is	good	for health
eating beans	is	good	for health
eating beef	is	neutral	for health
eating blueberries	is	good	for health
eating bread	is	neutral	for health
eating breakfast	is	good	for health
eating cabbage	is	good	for health
eating candy	is	bad	for health
eating carrots	is	good	for health
eating cashews	is	good	for health
eating cat food	is	bad	for health
eating celery	is	good	for health
eating cereal	is	neutral	for health
eating cereals	is	neutral	for health
eating cheerios	is	neutral	for health
eating cheese	is	neutral	for health
eating chicken	is	good	for health
eating chocolate	is	bad	for health
eating chocolate everyday	is	bad	for health
eating chocolates	is	bad	for health
eating cookie	is	bad	for health
eating cookie dough	is	bad	for health
eating cookies	is	bad	for health
eating corn	is	neutral	for health
eating cornflakes	is	neutral	for health
eating crisps	is	bad	for health
eating dairy products	is	good	for health
eating dark chocolate	is	bad	for health
eating dinner	is	good	for health
eating dog food	is	bad	for health
eating eggs	is	neutral	for health
eating enough fruit	is	good	for health
eating fast	is	bad	for health
eating fast food	is	bad	for health
eating fish	is	good	for health
eating food	is	good	for health
eating foods	is	neutral	for health
eating french fries	is	bad	for health
eating fruit	is	good	for health
eating fruits	is	good	for health
eating grains	is	good	for health
eating grapefruit	is	good	for health
eating grapefruits	is	good	for health
eating green lettuce	is	good	for health
eating green vegetables	is	good	for health
eating guava	is	good	for health
eating healthy food	is	good	for health
eating healthy foods	is	good	for health
eating honey	is	bad	for health
eating ice cream	is	bad	for health
eating jello	is	bad	for health
eating junk food	is	bad	for health
eating junk foods	is	bad	for health
eating ketchup	is	neutral	for health
eating lettuce	is	good	for health
eating liver	is	neutral	for health
eating lunch	is	good	for health
eating mango fruit	is	good	for health
eating mcdonald	is	bad	for health
eating meat	is	neutral	for health
eating moldy cheese	is	bad	for health
eating moldy fruit	is	bad	for health
eating moldy strawberries	is	bad	for health
eating nuts	is	good	for health
eating oatmeal	is	neutral	for health
eating onions	is	neutral	for health
eating oranges	is	good	for health
eating pancakes	is	neutral	for health
eating papaya	is	good	for health
eating peanut butter	is	bad	for health
eating peanuts	is	neutral	for health
eating pears	is	good	for health
eating peas	is	good	for health
eating pickles	is	good	for health
eating pie	is	bad	for health
eating pies	is	bad	for health
eating pineapple	is	good	for health
eating pizza	is	bad	for health
eating pork	is	neutral	for health
eating potato	is	neutral	for health
eating potatoes	is	neutral	for health
eating protein	is	good	for health
eating raspberry	is	good	for health
eating raw egg	is	bad	for health
eating raw eggs	is	bad	for health
eating raw fish	is	bad	for health
eating rice	is	good	for health
eating rice cakes	is	neutral	for health
eating rotten fruit	is	bad	for health
eating rotten meat	is	bad	for health
eating salad	is	good	for health
eating salads	is	good	for health
eating salmon	is	good	for health
eating salt	is	bad	for health
eating salty foods	is	bad	for health
eating seafood	is	neutral	for health
eating small meals	is	good	for health
eating soup	is	neutral	for health
eating spinach	is	good	for health
eating squash	is	good	for health
eating steak	is	neutral	for health
eating strawberries	is	good	for health
eating sugar	is	bad	for health
eating sweet potatoes	is	neutral	for health
eating sweets	is	bad	for health
eating tomato	is	good	for health
eating tomatoes	is	good	for health
eating tuna	is	neutral	for health
eating turkey	is	neutral	for health
eating turkeys	is	neutral	for health
eating unhealthy food	is	bad	for health
eating unhealthy foods	is	bad	for health
eating vegetables	is	good	for health
eating vitamins	is	good	for health
eating watermelons	is	good	for health
eating wheat bread	is	good	for health
eating whole grains	is	good	for health
eating yoghurt	is	good	for health
eating yogurt	is	good	for health
exercising outside	is	good	for health
feeding	is	good	for health
feeling pain	is	bad	for health
feeling stress	is	bad	for health
fighting	is	bad	for health
gaining weight	is	bad	for health
getting enough sleep	is	good	for health
having asthma	is	bad	for health
having fun	is	neutral	for health
having headaches	is	bad	for health
having lice	is	bad	for health
having stress	is	bad	for health
hurting	is	bad	for health
inhaling cigarette smoke	is	bad	for health
jogging	is	good	for health
jumping jacks	is	good	for health
jumping rope	is	good	for health
kayaking	is	good	for health
learning	is	neutral	for health
lifting weights	is	good	for health
listening to music	is	neutral	for health
losing weight	is	good	for health
moving	is	good	for health
physical activity	is	good	for health
playing badminton	is	good	for health
playing baseball	is	good	for health
playing basketball	is	good	for health
playing computer	is	neutral	for health
playing cricket	is	good	for health
playing dodgeball	is	good	for health
playing football	is	good	for health
playing games	is	neutral	for health
playing golf	is	good	for health
playing handball	is	good	for health
playing hockey	is	good	for health
playing lacrosse	is	good	for health
playing netball	is	good	for health
playing rugby	is	good	for health
playing soccer	is	good	for health
playing softball	is	good	for health
playing sport	is	good	for health
playing sports	is	good	for health
playing tennis	is	good	for health
playing the piano	is	neutral	for health
playing video games	is	neutral	for health
playing videogames	is	neutral	for health
playing volleyball	is	good	for health
playing xbox	is	neutral	for health
popping knuckles	is	bad	for health
quiting smoking	is	good	for health
quitting smoking	is	good	for health
racing	is	good	for health
reading books	is	neutral	for health
reading literature	is	neutral	for health
resting	is	good	for health
riding	is	good	for health
riding a bicycle	is	good	for health
riding a bike	is	good	for health
riding bike	is	good	for health
riding bikes	is	good	for health
running	is	neutral	for health
shopping	is	neutral	for health
singing	is	neutral	for health
sitting	is	neutral	for health
skipping breakfast	is	bad	for health
skipping dinner	is	bad	for health
skipping lunch	is	bad	for health
skipping meals	is	bad	for health
sleeping	is	good	for health
sleeping well	is	good	for health
smoking	is	bad	for health
smoking cigarettes	is	bad	for health
smoking tobacco	is	bad	for health
sneezing	is	bad	for health
snowboarding	is	good	for health
standing	is	neutral	for health
straightening hair	is	neutral	for health
studying	is	neutral	for health
surfing the internet	is	neutral	for health
swimming	is	good	for health
swimming activity	is	good	for health
swmiming	is	good	for health
taking a shower	is	neutral	for health
taking antibiotics	is	good	for health
taking aspirin	is	good	for health
taking ibuprofen	is	good	for health
taking iron supplement	is	good	for health
taking medicine	is	good	for health
taking penicillin	is	good	for health
taking vitamins	is	good	for health
talking	is	neutral	for health
thinking	is	neutral	for health
traveling	is	neutral	for health
using a computer	is	neutral	for health
