Term	Type	POS (most common)	WN2.0 Name	WordNet SenseKey	WN2.0 Synset	WordNet gloss	WordNet example usage
ability	?	n	ability_n1	ability%1:07:00::	104904666	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment	
able	?	adj	able_a1	able%3:00:00::	300001740	(usually followed by `to') having the necessary means or skill or know-how or authority to do something; 	able to swim; she was able to program her computer; we were at last able to buy a car; able to get a grant for the project
about	?	r	about_r1	about%4:02:00::	400006660	(of quantities) imprecise but fairly close to correct; 	lasted approximately an hour; in just about a minute; he's about 30 years old; I've had about all I can stand; we meet about once a month; some forty people came; weighs around a hundred pounds; roughly $3,000; holds 3 gallons, more or less; 20 or so people were at the party
above	dir	r	above_r1	above%4:02:00::	400080673	at an earlier place; 	see above
absorb	act	v	absorb_v1	absorb%2:35:01::	201497173	become imbued; 	The liquids, light, and gases absorb
abstract	abs	adj	abstract_a1	abstract%3:00:00::	300012085	existing only in the mind; separated from embodiment; 	abstract words like `truth' and `justice'
abstraction	der	n	abstraction_n1	abstraction%1:09:00::	105515034	a concept or idea not associated with any specific instance; 	he loved her only in the abstract--not in person
acceleration	att	n	acceleration_n1	acceleration%1:07:00::	104786831	an increase in speed; 	modern science caused an acceleration of cultural change
access	act	n	access_n1	access%1:07:00::	104882570	the right to enter	
accessing	der						
accident	abs	n	accident_n1	accident%1:11:01::	106853143	a mishap; especially one causing injury or death	
accurate	val	adj	accurate_a1	accurate%3:00:00::	300023554	conforming exactly or almost exactly to fact or to a standard or performing with total accuracy; 	an accurate reproduction; the accounting was accurate; accurate measurements; an accurate scale
accurately	qual	r	accurately_r1	accurately%4:02:01::	400207488	with few mistakes; 	he works very accurately
acid	subst	n	acid_n1	acid%1:27:00::	113771163	any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt	
acorn	bpart	n	acorn_n1	acorn%1:20:00::	111519530	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base	
acquire	act	v	get_v1	acquire%2:40:00::	202147191	come into the possession of something concrete or abstract; 	She got a lot of paintings from her uncle; They acquired a new pet; Get your results the next day; Get permission to take a few days off from work
acquired	state	adj	acquired_s1	acquired%5:00:00:noninheritable:00	301267110	gotten through environmental forces; 	acquired characteristics (such as a suntan or a broken nose) cannot be passed on
across	dirn	r	across_r1	across%4:02:01::	400275614	to the opposite side; 	the football field was 300 feet across
act	act	v	act_v1	act%2:41:00::	202296591	perform an action, or work out or perform (an action); 	think before you act; We must move quickly; The governor should act on the new energy bill; The nanny acted quickly by grabbing the toddler and covering him with a wet towel
action	nom	n	action_n1	action%1:04:02::	100032816	something done (usually as opposed to something said); 	there were stories of murders and other unnatural actions
active	quality	n	active_n1	active%1:27:00::	113934131	chemical agent capable of activity	
actively	?	r	actively_r1	actively%4:02:00::	400080343	in an active manner; 	he participated actively in the war
activity	nom	n	activity_n1	activity%1:04:00::	100389883	any specific activity; 	they avoided all recreational activity
adapt	act	v	adapt_v1	adapt%2:30:01::	200290397	make fit for, or change to suit a new purpose; 	Adapt our native cuisine to the available food resources of the new country
adaptation	nom	n	version_n3	adaptation%1:10:00::	106011074	a written work (as a novel) that has been recast in a new form; 	the play is an adaptation of a short novel
adapted	state	adj	adapted_s1	adapted%5:00:00:modified:00	301489576	changed in order to improve or made more fit for a particular purpose; 	seeds precisely adapted to the area; instructions altered to suit the children's different ages
adapting	der						
add	act	v	add_v1	add%2:30:00::	200176022	make an addition (to); join or combine or unite with others; increase the quality, quantity, zise or scope of; 	We added two students to that dorm room; She added a personal note to her letter; Add insult to injury; Add some extra plates to the dinner table
